id,user_id,item,created_at,revenue
1,109,milk,2020-03-03 00:00:00,123
2,139,biscuit,2020-03-18 00:00:00,421
3,120,milk,2020-03-18 00:00:00,176
4,108,banana,2020-03-18 00:00:00,862
5,130,milk,2020-03-28 00:00:00,333
6,103,bread,2020-03-29 00:00:00,862
7,122,banana,2020-03-07 00:00:00,952
8,125,bread,2020-03-13 00:00:00,317
9,139,bread,2020-03-30 00:00:00,929
10,141,banana,2020-03-17 00:00:00,812
11,116,bread,2020-03-31 00:00:00,226
12,128,bread,2020-03-04 00:00:00,112
13,146,biscuit,2020-03-04 00:00:00,362
14,119,banana,2020-03-28 00:00:00,127
15,142,bread,2020-03-09 00:00:00,503
16,122,bread,2020-03-06 00:00:00,593
17,128,biscuit,2020-03-24 00:00:00,160
18,112,banana,2020-03-24 00:00:00,262
19,149,banana,2020-03-29 00:00:00,382
20,100,banana,2020-03-18 00:00:00,599
21,130,milk,2020-03-16 00:00:00,604
22,103,milk,2020-03-31 00:00:00,290
23,112,banana,2020-03-23 00:00:00,523
24,102,bread,2020-03-25 00:00:00,325
25,120,biscuit,2020-03-21 00:00:00,858
26,109,bread,2020-03-22 00:00:00,432
27,101,milk,2020-03-01 00:00:00,449
28,138,milk,2020-03-19 00:00:00,961
29,100,milk,2020-03-29 00:00:00,410
30,129,milk,2020-03-02 00:00:00,771
31,123,milk,2020-03-31 00:00:00,434
32,104,biscuit,2020-03-31 00:00:00,957
33,110,bread,2020-03-13 00:00:00,210
34,143,bread,2020-03-27 00:00:00,870
35,130,milk,2020-03-12 00:00:00,176
36,128,milk,2020-03-28 00:00:00,498
37,133,banana,2020-03-21 00:00:00,837
38,150,banana,2020-03-20 00:00:00,927
39,120,milk,2020-03-27 00:00:00,793
40,109,bread,2020-03-02 00:00:00,362
41,110,bread,2020-03-13 00:00:00,262
42,140,milk,2020-03-09 00:00:00,468
43,112,banana,2020-03-04 00:00:00,381
44,117,biscuit,2020-03-19 00:00:00,831
45,137,banana,2020-03-23 00:00:00,490
46,130,bread,2020-03-09 00:00:00,149
47,133,bread,2020-03-08 00:00:00,658
48,143,milk,2020-03-11 00:00:00,317
49,111,biscuit,2020-03-23 00:00:00,204
50,150,banana,2020-03-04 00:00:00,299
51,131,bread,2020-03-10 00:00:00,155
52,140,biscuit,2020-03-17 00:00:00,810
53,147,banana,2020-03-22 00:00:00,702
54,119,biscuit,2020-03-15 00:00:00,355
55,116,milk,2020-03-12 00:00:00,468
56,141,milk,2020-03-14 00:00:00,254
57,143,bread,2020-03-16 00:00:00,647
58,105,bread,2020-03-21 00:00:00,562
59,149,biscuit,2020-03-11 00:00:00,827
60,117,banana,2020-03-22 00:00:00,249
61,150,banana,2020-03-21 00:00:00,450
62,134,bread,2020-03-08 00:00:00,981
63,133,banana,2020-03-26 00:00:00,353
64,127,milk,2020-03-27 00:00:00,300
65,101,milk,2020-03-26 00:00:00,740
66,137,biscuit,2020-03-12 00:00:00,473
67,113,biscuit,2020-03-21 00:00:00,278
68,141,bread,2020-03-21 00:00:00,118
69,112,biscuit,2020-03-14 00:00:00,334
70,118,milk,2020-03-30 00:00:00,603
71,111,milk,2020-03-19 00:00:00,205
72,146,biscuit,2020-03-13 00:00:00,599
73,148,banana,2020-03-14 00:00:00,530
74,100,banana,2020-03-13 00:00:00,175
75,105,banana,2020-03-05 00:00:00,815
76,129,milk,2020-03-02 00:00:00,489
77,121,milk,2020-03-16 00:00:00,476
78,117,bread,2020-03-11 00:00:00,270
79,133,milk,2020-03-12 00:00:00,446
80,124,bread,2020-03-31 00:00:00,937
81,145,bread,2020-03-07 00:00:00,821
82,105,banana,2020-03-09 00:00:00,972
83,131,milk,2020-03-09 00:00:00,808
84,114,biscuit,2020-03-31 00:00:00,202
85,120,milk,2020-03-06 00:00:00,898
86,130,milk,2020-03-06 00:00:00,581
87,141,biscuit,2020-03-11 00:00:00,749
88,147,bread,2020-03-14 00:00:00,262
89,118,milk,2020-03-15 00:00:00,735
90,136,biscuit,2020-03-22 00:00:00,410
91,132,bread,2020-03-06 00:00:00,161
92,137,biscuit,2020-03-31 00:00:00,427
93,107,bread,2020-03-01 00:00:00,701
94,111,biscuit,2020-03-18 00:00:00,218
95,100,bread,2020-03-07 00:00:00,410
96,106,milk,2020-03-21 00:00:00,379
97,114,banana,2020-03-25 00:00:00,705
98,110,bread,2020-03-27 00:00:00,225
99,130,milk,2020-03-16 00:00:00,494
100,117,bread,2020-03-10 00:00:00,209
